age,job,marital,education,balance,housing,loan,y
58,management,married,tertiary,2143,yes,no,no
44,technician,single,secondary,29,yes,no,no
33,entrepreneur,married,secondary,2,yes,yes,no
47,blue-collar,married,unknown,1506,yes,no,no
33,unknown,single,unknown,1,no,no,no
35,management,married,tertiary,231,yes,no,no
28,management,single,tertiary,447,yes,yes,no
42,entrepreneur,divorced,tertiary,2,yes,no,no
58,retired,married,primary,121,yes,no,no
43,technician,single,secondary,593,yes,no,no
41,admin.,divorced,secondary,270,yes,no,no
29,admin.,single,secondary,390,yes,no,no
53,technician,married,secondary,6,yes,no,no
58,technician,married,unknown,71,yes,no,no
57,services,married,secondary,162,yes,no,no
51,retired,married,primary,229,yes,no,no
45,admin.,single,unknown,13,yes,no,no
57,blue-collar,married,primary,52,yes,no,no
60,retired,married,primary,60,yes,no,no
33,services,married,secondary,0,yes,no,no
28,blue-collar,married,secondary,723,yes,yes,no
56,management,married,tertiary,779,yes,no,no
32,blue-collar,single,primary,23,yes,yes,no
25,services,married,secondary,50,yes,no,no
40,retired,married,primary,0,yes,yes,no
44,admin.,married,secondary,-372,yes,no,no
39,management,single,tertiary,255,yes,no,no
52,entrepreneur,married,secondary,113,yes,yes,no
46,management,single,secondary,-246,yes,no,no
36,technician,single,secondary,265,yes,yes,no
57,technician,married,secondary,839,no,yes,no
49,management,married,tertiary,378,yes,no,no
60,admin.,married,secondary,39,yes,yes,no
59,blue-collar,married,secondary,0,yes,no,no
51,management,married,tertiary,10635,yes,no,no
57,technician,divorced,secondary,63,yes,no,no
25,blue-collar,married,secondary,-7,yes,no,no
53,technician,married,secondary,-3,no,no,no
36,admin.,divorced,secondary,506,yes,no,no
37,admin.,single,secondary,0,yes,no,no
44,services,divorced,secondary,2586,yes,no,no
50,management,married,secondary,49,yes,no,no
60,blue-collar,married,unknown,104,yes,no,no
54,retired,married,secondary,529,yes,no,no
58,retired,married,unknown,96,yes,no,no
36,admin.,single,primary,-171,yes,no,no
58,self-employed,married,tertiary,-364,yes,no,no
44,technician,married,secondary,0,yes,no,no
55,technician,divorced,secondary,0,no,no,no
29,management,single,tertiary,0,yes,no,no
54,blue-collar,married,secondary,1291,yes,no,no
48,management,divorced,tertiary,-244,yes,no,no
32,management,married,tertiary,0,yes,no,no
42,admin.,single,secondary,-76,yes,no,no
24,technician,single,secondary,-103,yes,yes,no
38,entrepreneur,single,tertiary,243,no,yes,no
38,management,single,tertiary,424,yes,no,no
47,blue-collar,married,unknown,306,yes,no,no
40,blue-collar,single,unknown,24,yes,no,no
46,services,married,primary,179,yes,no,no
32,admin.,married,tertiary,0,yes,no,no
53,technician,divorced,secondary,989,yes,no,no
57,blue-collar,married,primary,249,yes,no,no
33,services,married,secondary,790,yes,no,no
49,blue-collar,married,unknown,154,yes,no,no
51,management,married,tertiary,6530,yes,no,no
60,retired,married,tertiary,100,no,no,no
59,management,divorced,tertiary,59,yes,no,no
55,technician,married,secondary,1205,yes,no,no
35,blue-collar,single,secondary,12223,yes,yes,no
57,blue-collar,married,secondary,5935,yes,yes,no
31,services,married,secondary,25,yes,yes,no
54,management,married,secondary,282,yes,yes,no
55,blue-collar,married,primary,23,yes,no,no
43,technician,married,secondary,1937,yes,no,no
53,technician,married,secondary,384,yes,no,no
44,blue-collar,married,secondary,582,no,yes,no
55,services,divorced,secondary,91,no,no,no
49,services,divorced,secondary,0,yes,yes,no
55,services,divorced,secondary,1,yes,no,no
45,admin.,single,secondary,206,yes,no,no
47,services,divorced,secondary,164,no,no,no
42,technician,single,secondary,690,yes,no,no
59,admin.,married,secondary,2343,yes,no,yes
46,self-employed,married,tertiary,137,yes,yes,no
51,blue-collar,married,primary,173,yes,no,no
56,admin.,married,secondary,45,no,no,yes
41,technician,married,secondary,1270,yes,no,yes
46,management,divorced,secondary,16,yes,yes,no
57,retired,married,secondary,486,yes,no,no
42,management,single,secondary,50,no,no,no
30,technician,married,secondary,152,yes,yes,no
60,admin.,married,secondary,290,yes,no,no
60,blue-collar,married,unknown,54,yes,no,no
57,entrepreneur,divorced,secondary,-37,no,no,no
36,management,married,tertiary,101,yes,yes,no
55,blue-collar,married,secondary,383,no,no,no
60,retired,married,tertiary,81,yes,no,no
39,technician,married,secondary,0,yes,no,no
46,management,married,tertiary,229,yes,no,no
44,blue-collar,married,secondary,-674,yes,no,no
53,blue-collar,married,primary,90,no,no,no
52,blue-collar,married,primary,128,yes,no,no
59,blue-collar,married,primary,179,yes,no,no
27,technician,single,tertiary,0,yes,no,no
44,blue-collar,married,secondary,54,yes,no,no
47,technician,married,tertiary,151,yes,no,no
34,admin.,married,secondary,61,no,yes,no
59,retired,single,secondary,30,yes,no,no
45,management,married,tertiary,523,yes,no,no
29,services,divorced,secondary,31,yes,no,no
46,technician,divorced,secondary,79,no,no,no
56,self-employed,married,primary,-34,yes,yes,no
36,blue-collar,married,primary,448,yes,no,no
59,retired,divorced,primary,81,yes,no,no
44,blue-collar,married,secondary,144,yes,no,no
41,admin.,married,secondary,351,yes,no,no
33,management,single,tertiary,-67,yes,no,no
59,management,divorced,tertiary,262,no,no,no
57,technician,married,primary,0,no,no,no
56,technician,divorced,unknown,56,yes,no,no
51,blue-collar,married,secondary,26,yes,no,no
34,admin.,married,unknown,3,yes,no,no
43,services,married,secondary,41,yes,yes,no
52,technician,married,tertiary,7,no,yes,no
33,technician,single,secondary,105,yes,no,no
29,admin.,single,secondary,818,yes,yes,no
34,services,married,secondary,-16,yes,yes,no
31,blue-collar,married,secondary,0,yes,no,no
55,services,married,secondary,2476,yes,no,yes
55,management,married,unknown,1185,no,no,no
32,admin.,single,secondary,217,yes,no,no
38,technician,single,secondary,1685,yes,no,no
55,admin.,single,secondary,802,yes,yes,no
28,unemployed,single,tertiary,0,yes,no,no
23,blue-collar,married,secondary,94,yes,no,no
32,technician,single,secondary,0,yes,no,no
43,services,single,unknown,0,no,no,no
32,blue-collar,married,secondary,517,yes,no,no
46,blue-collar,married,secondary,265,yes,no,no
53,housemaid,divorced,primary,947,yes,no,no
34,self-employed,single,secondary,3,yes,no,no
57,unemployed,married,tertiary,42,no,no,no
37,,married,secondary,37,yes,no,no
59,blue-collar,married,secondary,57,yes,no,no
33,services,married,secondary,22,yes,no,no
56,blue-collar,divorced,primary,8,yes,no,no
48,unemployed,married,secondary,293,yes,no,no
43,services,married,primary,3,yes,no,no
54,blue-collar,married,primary,348,yes,no,no
51,blue-collar,married,unknown,-19,yes,no,no
26,student,single,secondary,0,yes,no,no
40,management,married,tertiary,-4,yes,no,no
39,management,married,secondary,18,yes,no,no
50,technician,married,primary,139,no,no,no
41,services,married,secondary,0,yes,no,no
51,blue-collar,married,unknown,1883,yes,no,no
60,retired,divorced,secondary,216,yes,no,no
